state,country,latitude,longitude,date,case,death,recovered,iso_a3,source
,Afghanistan,33.93911,67.709953,2020-01-22,0,0,0,AFG,jhu
,Albania,41.1533,20.1683,2020-01-22,0,0,0,ALB,jhu
,Algeria,28.0339,1.6596,2020-01-22,0,0,0,DZA,jhu
,Andorra,42.5063,1.5218,2020-01-22,0,0,0,AND,jhu
,Angola,-11.2027,17.8739,2020-01-22,0,0,0,AGO,jhu
,Antigua and Barbuda,17.0608,-61.7964,2020-01-22,0,0,0,ATG,jhu
,Argentina,-38.4161,-63.6167,2020-01-22,0,0,0,ARG,jhu
,Armenia,40.0691,45.0382,2020-01-22,0,0,0,ARM,jhu
Australian Capital Territory,Australia,-35.4735,149.0124,2020-01-22,0,0,0,AUS,jhu
New South Wales,Australia,-33.8688,151.2093,2020-01-22,0,0,0,AUS,jhu
Northern Territory,Australia,-12.4634,130.8456,2020-01-22,0,0,0,AUS,jhu
Queensland,Australia,-27.4698,153.0251,2020-01-22,0,0,0,AUS,jhu
South Australia,Australia,-34.9285,138.6007,2020-01-22,0,0,0,AUS,jhu
Tasmania,Australia,-42.8821,147.3272,2020-01-22,0,0,0,AUS,jhu
Victoria,Australia,-37.8136,144.9631,2020-01-22,0,0,0,AUS,jhu
Western Australia,Australia,-31.9505,115.8605,2020-01-22,0,0,0,AUS,jhu
,Austria,47.5162,14.5501,2020-01-22,0,0,0,AUT,jhu
,Azerbaijan,40.1431,47.5769,2020-01-22,0,0,0,AZE,jhu
,Bahamas,25.025885,-78.035889,2020-01-22,0,0,0,BHS,jhu
,Bahrain,26.0275,50.55,2020-01-22,0,0,0,BHR,jhu
,Bangladesh,23.685,90.3563,2020-01-22,0,0,0,BGD,jhu
,Barbados,13.1939,-59.5432,2020-01-22,0,0,0,BRB,jhu
,Belarus,53.7098,27.9534,2020-01-22,0,0,0,BLR,jhu
,Belgium,50.8333,4.469936,2020-01-22,0,0,0,BEL,jhu
,Benin,9.3077,2.3158,2020-01-22,0,0,0,BEN,jhu
,Bhutan,27.5142,90.4336,2020-01-22,0,0,0,BTN,jhu
,Bolivia,-16.2902,-63.5887,2020-01-22,0,0,0,BOL,jhu
,Bosnia and Herzegovina,43.9159,17.6791,2020-01-22,0,0,0,BIH,jhu
,Brazil,-14.235,-51.9253,2020-01-22,0,0,0,BRA,jhu
,Brunei,4.5353,114.7277,2020-01-22,0,0,0,BRN,jhu
,Bulgaria,42.7339,25.4858,2020-01-22,0,0,0,BGR,jhu
,Burkina Faso,12.2383,-1.5616,2020-01-22,0,0,0,BFA,jhu
,Cabo Verde,16.5388,-23.0418,2020-01-22,0,0,0,CPV,jhu
,Cambodia,11.55,104.9167,2020-01-22,0,0,0,KHM,jhu
,Central African Republic,6.6111,20.9394,2020-01-22,0,0,0,CAF,jhu
,Chad,15.4542,18.7322,2020-01-22,0,0,0,TCD,jhu
,Chile,-35.6751,-71.543,2020-01-22,0,0,0,CHL,jhu
Anhui,China,31.8257,117.2264,2020-01-22,1,0,0,CHN,jhu
Beijing,China,40.1824,116.4142,2020-01-22,14,0,0,CHN,jhu
Chongqing,China,30.0572,107.874,2020-01-22,6,0,0,CHN,jhu
Fujian,China,26.0789,117.9874,2020-01-22,1,0,0,CHN,jhu
Gansu,China,35.7518,104.2861,2020-01-22,0,0,0,CHN,jhu
Guangdong,China,23.3417,113.4244,2020-01-22,26,0,0,CHN,jhu
Guangxi,China,23.8298,108.7881,2020-01-22,2,0,0,CHN,jhu
Guizhou,China,26.8154,106.8748,2020-01-22,1,0,0,CHN,jhu
Hainan,China,19.1959,109.7453,2020-01-22,4,0,0,CHN,jhu
Heilongjiang,China,47.861999999999995,127.7615,2020-01-22,0,0,0,CHN,jhu
Hong Kong,China,22.3,114.2,2020-01-22,0,0,0,CHN,jhu
Hubei,China,30.9756,112.2707,2020-01-22,444,17,28,CHN,jhu
Hunan,China,27.6104,111.7088,2020-01-22,4,0,0,CHN,jhu
Inner Mongolia,China,44.0935,113.9448,2020-01-22,0,0,0,CHN,jhu
Jiangsu,China,32.9711,119.455,2020-01-22,1,0,0,CHN,jhu
Jiangxi,China,27.614,115.7221,2020-01-22,2,0,0,CHN,jhu
Jilin,China,43.6661,126.1923,2020-01-22,0,0,0,CHN,jhu
Liaoning,China,41.2956,122.6085,2020-01-22,2,0,0,CHN,jhu
Macau,China,22.1667,113.55,2020-01-22,1,0,0,CHN,jhu
Ningxia,China,37.2692,106.1655,2020-01-22,1,0,0,CHN,jhu
Qinghai,China,35.7452,95.9956,2020-01-22,0,0,0,CHN,jhu
Shaanxi,China,35.1917,108.8701,2020-01-22,0,0,0,CHN,jhu
Shandong,China,36.3427,118.1498,2020-01-22,2,0,0,CHN,jhu
Shanghai,China,31.201999999999998,121.4491,2020-01-22,9,0,0,CHN,jhu
Shanxi,China,37.5777,112.2922,2020-01-22,1,0,0,CHN,jhu
Sichuan,China,30.6171,102.7103,2020-01-22,5,0,0,CHN,jhu
Tianjin,China,39.3054,117.323,2020-01-22,4,0,0,CHN,jhu
Tibet,China,31.6927,88.0924,2020-01-22,0,0,0,CHN,jhu
Xinjiang,China,41.1129,85.2401,2020-01-22,0,0,0,CHN,jhu
Zhejiang,China,29.1832,120.0934,2020-01-22,10,0,0,CHN,jhu
,Colombia,4.5709,-74.2973,2020-01-22,0,0,0,COL,jhu
,Congo (Brazzaville),-0.228,15.8277,2020-01-22,0,0,0,COG,jhu
,Congo (Kinshasa),-4.0383,21.7587,2020-01-22,0,0,0,COD,jhu
,Costa Rica,9.7489,-83.7534,2020-01-22,0,0,0,CRI,jhu
,Cote d'Ivoire,7.54,-5.5471,2020-01-22,0,0,0,CIV,jhu
,Croatia,45.1,15.2,2020-01-22,0,0,0,HRV,jhu
,Diamond Princess,0.0,0.0,2020-01-22,0,0,0,cruise,jhu
,Cuba,21.521757,-77.78116700000002,2020-01-22,0,0,0,CUB,jhu
,Cyprus,35.1264,33.4299,2020-01-22,0,0,0,CYP,jhu
Faroe Islands,Denmark,61.8926,-6.9118,2020-01-22,0,0,0,DNK,jhu
Greenland,Denmark,71.7069,-42.6043,2020-01-22,0,0,0,DNK,jhu
,Denmark,56.2639,9.5018,2020-01-22,0,0,0,DNK,jhu
,Djibouti,11.8251,42.5903,2020-01-22,0,0,0,DJI,jhu
,Dominican Republic,18.7357,-70.1627,2020-01-22,0,0,0,DOM,jhu
,Ecuador,-1.8312,-78.1834,2020-01-22,0,0,0,ECU,jhu
,Egypt,26.820553000000004,30.802497999999996,2020-01-22,0,0,0,EGY,jhu
,El Salvador,13.7942,-88.8965,2020-01-22,0,0,0,SLV,jhu
,Equatorial Guinea,1.6508,10.2679,2020-01-22,0,0,0,GNQ,jhu
,Eritrea,15.1794,39.7823,2020-01-22,0,0,0,ERI,jhu
,Estonia,58.5953,25.0136,2020-01-22,0,0,0,EST,jhu
,Eswatini,-26.5225,31.4659,2020-01-22,0,0,0,SWZ,jhu
,Ethiopia,9.145,40.4897,2020-01-22,0,0,0,ETH,jhu
,Fiji,-17.7134,178.065,2020-01-22,0,0,0,FJI,jhu
,Finland,61.92411,25.748151,2020-01-22,0,0,0,FIN,jhu
French Guiana,France,3.9339,-53.1258,2020-01-22,0,0,0,FRA,jhu
French Polynesia,France,-17.6797,149.4068,2020-01-22,0,0,0,FRA,jhu
Guadeloupe,France,16.265,-61.551,2020-01-22,0,0,0,FRA,jhu
Mayotte,France,-12.8275,45.166244,2020-01-22,0,0,0,FRA,jhu
New Caledonia,France,-20.904304999999997,165.618042,2020-01-22,0,0,0,FRA,jhu
Reunion,France,-21.1151,55.5364,2020-01-22,0,0,0,FRA,jhu
Saint Barthelemy,France,17.9,-62.8333,2020-01-22,0,0,0,FRA,jhu
St Martin,France,18.0708,-63.0501,2020-01-22,0,0,0,FRA,jhu
Martinique,France,14.6415,-61.0242,2020-01-22,0,0,0,FRA,jhu
,France,46.2276,2.2137,2020-01-22,0,0,0,FRA,jhu
,Gabon,-0.8037,11.6094,2020-01-22,0,0,0,GAB,jhu
